asin,url,title,price,old_price,discount,stock,reviews_count,age_range,weight,short_description
B0CMG86KX4,https://www.amazon.de/Fisher-Price-HXV21-Wooden-Nursery-Children/dp/B0CMG86KX4?ref_=ast_sto_dp&th=1&psc=1,Fisher-Price HXV21 Wooden Ice Cream Parlor Play Set for Nursery Children 18 Wooden Pieces for Role Play from 3 Years,€45.31,€45.31,,In stock,381 global ratings,36 months - 7 years,9.05 x 44.45 x 26.67 cm; 2.58 kg,"18-piece wooden ice cream parlor play set for a delicious, fun nursery role play.
Made from wood sourced from sustainable forests with Forest Stewardship Council certification, plastic free packaging
Stimulates imaginative role play and storytelling
Includes display case, 1 ice ball tongs, 4 ice cream, 2 waffles, 2 cups, 4 water ice cream, menu, spoon, 2 embellishments
Montessori pedagogy-inspired creative game for kindergarten children aged 3 and up"
B0CMFRHZDQ,https://www.amazon.de/Fisher-Price-Wooden-Saucers-Nursery-HXT82/dp/B0CMFRHZDQ?ref_=ast_sto_dp&th=1&psc=1,"Fisher-Price Wooden Tea Set with Teapot, Cups and Saucers, 12 Wooden Pieces for Role Play in Nursery Age 3 Years and Above, HXT82",€17.73,€45.31,,In stock,381 global ratings,36 months - 7 years,8.89 x 31.75 x 31.75 cm; 955 g,"12-piece wooden tea party set for endless role play fun
All parts are made from wood sourced from sustainable forests with Forest Stewardship Council certification, plastic free packaging
Stimulates imaginative role play and storytelling
Includes serving tray, teapot with lid, 2 tea cups, 2 saucers, 2 spoons, 2 cupcakes and 1 plate
Montessori pedagogy-inspired creative game for kindergarten children aged 3 and up"
B0CMFTKPF5,https://www.amazon.de/Fisher-Price-Wooden-Cookware-Role-Play/dp/B0CMFTKPF5?ref_=ast_sto_dp&th=1&psc=1,Fisher-Price Wooden Cookware Set for Role Play - 19 Wooden Pieces for Nursery Children from 3 Years - HXT83,€37.99,,,,381 global ratings,36 months - 5 years,6.67 x 22.86 x 22.86 cm; 540 g,"Wooden kitchen play set for kindergarten-friendly role play for cooking and tables
Made from wood sourced from sustainable forests with Forest Stewardship Council certification, plastic free packaging
Stimulates imaginative role play and storytelling
19 pieces. Includes 1 pot, 2 pans, 2 lids, 2 cooking accessories, 1 toy oven glove, and 11 foods for cooking and tabling
Montessori pedagogy-inspired creative game for kindergarten children aged 3 and up"
B0CMG5RV4H,https://www.amazon.de/Fisher-Price-Coffee-Nursery-Children-HXT85/dp/B0CMG5RV4H?ref_=ast_sto_dp&th=1&psc=1,"Fisher-Price Role Play Set, Coffee to Go Set, Wooden Coffee Cups and Treats for Nursery Children from 3 Years, HXT85",€19.22,€45.31,,In stock,381 global ratings,36 months - 7 years,6.67 x 22.86 x 22.86 cm; 430.01 g,"Playset with coffee cups and treats made of wood for a nursery-friendly cafe role play
All parts are made from wood sourced from sustainable forests with Forest Stewardship Council certification, plastic free packaging
Stimulates imaginative role play and storytelling
15 pieces. Includes 3 takeaway drinking cups including lid and protective cover, 2 biscuits, 2 marshmallows, 1 spoon and a cup holder
Montessori pedagogy-inspired creative game for kindergarten children aged 3 and up"
B0CMG86KX4,https://www.amazon.de/Fisher-Price-HXV21-Wooden-Nursery-Children/dp/B0CMG86KX4?ref_=ast_sto_dp&th=1&psc=1,Fisher-Price HXV21 Wooden Ice Cream Parlor Play Set for Nursery Children 18 Wooden Pieces for Role Play from 3 Years,€45.31,€45.31,,In stock,381 global ratings,36 months - 7 years,9.05 x 44.45 x 26.67 cm; 2.58 kg,"18-piece wooden ice cream parlor play set for a delicious, fun nursery role play.
Made from wood sourced from sustainable forests with Forest Stewardship Council certification, plastic free packaging
Stimulates imaginative role play and storytelling
Includes display case, 1 ice ball tongs, 4 ice cream, 2 waffles, 2 cups, 4 water ice cream, menu, spoon, 2 embellishments
Montessori pedagogy-inspired creative game for kindergarten children aged 3 and up"
B0CY6NQQYK,https://www.amazon.de/Fisher-Price-Children-Stacking-Certified-HXT97/dp/B0CY6NQQYK?ref_=ast_sto_dp&th=1&psc=1,"Fisher-Price Toy for Nursery Children, Flower Garden, Wooden Puzzle with Stacking Blocks, 37 FSC Certified Wooden Pieces for Children from 3 Years, HXT97",€8.53,€9.17,-7%,Only 12 left in stock.,31 global ratings,36 months - 7 years,29.5 x 25 x 0.1 cm; 640.02 g,"Wooden puzzle for children in creative flower garden design with stackable building blocks
Includes 37 building blocks and a frame with markings that allow children to assign the shapes to the corresponding fields
Made from wood sourced from sustainable forests with Forest Stewardship Council certification
Supports fine motor skills, problem-solving skills and imagination
A great gift for kindergarten children aged 3 and up"
B0CMG4WL99,https://www.amazon.de/Fisher-Price-Toddlers-Stacking-Children-HXV05/dp/B0CMG4WL99?ref_=ast_sto_dp&th=1&psc=1,"Fisher-Price Sorting Toy for Toddlers, Shape, Stacking Toy, Made of Wood, 13 Wooden Pieces for Fine Motor Play, Nursery Children from 2 Years, HXV05",€11.68,€12.99,-10%,In stock,117 global ratings,24 months - 5 years,7.94 x 20 x 6.35 cm; 244.99 g,"Wooden shape stacking toy for stacking fun for toddlers
Made from wood sourced from sustainable forests with Forest Stewardship Council certification, plastic free packaging
Supports the development of fine motor skills and problem-solving skills
Includes 1 sorting base and 12 shapes for stacking
Montessori education-inspired creative game for toddlers and kindergarten children aged 2 and up"
B0CMFL2D8M,https://www.amazon.de/Fisher-Price-HXV13-Childrens-Xylophone-Development/dp/B0CMFL2D8M?ref_=ast_sto_dp&th=1&psc=1,Fisher-Price HXV13 Children's Wooden Xylophone Musical Toy 2 Pieces for Playful Development for Children Aged 2+,€16.00,€16.95,-6%,,47 global ratings,24 months - 5 years,4.45 x 23.5 x 14.29 cm; 315.25 g,"Colourful musical instrument for toddlers to introduce to sounds and music
Made from wood sourced from sustainable forests with Forest Stewardship Council certification, plastic free packaging
Supports fine motor and sensory development
Includes 1 xylophone and 1 mallet for toddler fun
Montessori education-inspired creative game for toddlers and kindergarten children aged 2 and up"
B0CMFYWRPM,https://www.amazon.de/Fisher-Price-Preschool-Geometric-Children-HXT94/dp/B0CMFYWRPM?ref_=ast_sto_dp&th=1&psc=1,"Fisher-Price Preschool Toys Wooden Puzzle with Geometric Mandala Design, 40 Pieces Wooden Jigsaw Puzzles for Children Aged 3+ Years HXT94",€24.84,€8.53,,,74 global ratings,36 months - 7 years,29 x 2.5 x 0.1 cm; 730 g,"Wooden puzzle for children with beautiful geometric mandala design in bright colours
Includes 40 mould pieces and a tray with guides that allow children to assign the shapes to the corresponding fields
Made from wood sourced from sustainable forests with Forest Stewardship Council certification
Supports fine motor skills, problem-solving skills and confidence
Montessori pedagogy-inspired creative game for kindergarten children aged 3 and up
Smilestones: Master every milestone with a smile! This puzzle promotes dexterity as the hand muscles are trained by gripping, handling and sorting the pieces in the appropriate places"
B0CMG86KX4,https://www.amazon.de/Fisher-Price-HXV21-Wooden-Nursery-Children/dp/B0CMG86KX4?ref_=ast_sto_dp&th=1&psc=1,Fisher-Price HXV21 Wooden Ice Cream Parlor Play Set for Nursery Children 18 Wooden Pieces for Role Play from 3 Years,€45.31,€45.31,,In stock,381 global ratings,36 months - 7 years,9.05 x 44.45 x 26.67 cm; 2.58 kg,"18-piece wooden ice cream parlor play set for a delicious, fun nursery role play.
Made from wood sourced from sustainable forests with Forest Stewardship Council certification, plastic free packaging
Stimulates imaginative role play and storytelling
Includes display case, 1 ice ball tongs, 4 ice cream, 2 waffles, 2 cups, 4 water ice cream, menu, spoon, 2 embellishments
Montessori pedagogy-inspired creative game for kindergarten children aged 3 and up"
